,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,2018-19,2019-01-09,Kansas,,TCU,REG,W,0,25,3,5,.600,2,3,.667,1,2,.500,0,0,,1,3,4,1,2,1,0,2,7
1,2018-19,2019-01-12,Kansas,@,Baylor,REG,W,0,21,4,5,.800,3,3,1.000,1,2,.500,1,2,.500,1,2,3,0,1,0,0,2,10
2,2018-19,2019-01-14,Kansas,,Texas,REG,W,0,25,2,5,.400,2,3,.667,0,2,.000,0,0,,0,4,4,2,1,0,0,1,4
3,2018-19,2019-01-19,Kansas,@,West Virginia,REG,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,3,0,0
4,2018-19,2019-01-21,Kansas,,Iowa State,REG,W,0,16,3,6,.500,1,2,.500,2,4,.500,0,0,,1,4,5,0,0,1,2,5,8
5,2018-19,2019-01-26,Kansas,@,Kentucky,REG,L,0,22,2,6,.333,1,2,.500,1,4,.250,2,2,1.000,2,0,2,0,0,0,1,0,7
6,2018-19,2019-01-29,Kansas,@,Texas,REG,L,1,35,8,10,.800,6,6,1.000,2,4,.500,6,8,.750,4,3,7,0,2,1,2,4,24
7,2018-19,2019-02-02,Kansas,,Texas Tech,REG,W,1,33,3,8,.375,2,4,.500,1,4,.250,3,6,.500,1,9,10,3,1,0,2,3,10
8,2018-19,2019-02-05,Kansas,@,Kansas State,REG,L,1,35,3,7,.429,3,5,.600,0,2,.000,0,2,.000,1,3,4,0,1,1,4,3,6
9,2018-19,2019-02-09,Kansas,,Oklahoma State,REG,W,1,36,8,12,.667,3,5,.600,5,7,.714,2,2,1.000,1,5,6,2,0,0,0,1,23
10,2018-19,2019-02-11,Kansas,@,TCU,REG,W,1,41,6,12,.500,4,6,.667,2,6,.333,6,6,1.000,1,10,11,1,1,1,1,0,20
11,2018-19,2019-02-16,Kansas,,West Virginia,REG,W,1,27,4,9,.444,3,5,.600,1,4,.250,1,2,.500,0,3,3,1,1,0,3,4,10
12,2018-19,2019-02-23,Kansas,@,Texas Tech,REG,L,1,30,1,6,.167,1,3,.333,0,3,.000,0,0,,0,2,2,0,0,1,2,1,2
13,2018-19,2019-02-25,Kansas,,Kansas State,REG,W,1,16,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,0,0,0,1,0,0
14,2018-19,2019-03-02,Kansas,@,Oklahoma State,REG,W,1,29,3,10,.300,0,2,.000,3,8,.375,2,3,.667,0,5,5,2,0,1,0,2,11
15,2018-19,2019-03-05,Kansas,@,Oklahoma,REG,L,1,31,4,12,.333,3,5,.600,1,7,.143,0,0,,0,3,3,0,0,1,1,3,9
16,2018-19,2019-03-09,Kansas,,Baylor,REG,W,1,30,3,10,.300,3,7,.429,0,3,.000,0,0,,1,7,8,4,0,0,1,3,6
17,2018-19,2019-03-14,Kansas,N,Texas,CTOURN,W,1,26,1,5,.200,1,4,.250,0,1,.000,0,1,.000,0,3,3,2,0,0,0,1,2
18,2018-19,2019-03-15,Kansas,N,West Virginia,CTOURN,W,1,21,4,9,.444,3,5,.600,1,4,.250,0,0,,1,2,3,1,0,2,1,3,9
19,2018-19,2019-03-16,Kansas,N,Iowa State,CTOURN,L,1,21,2,7,.286,1,3,.333,1,4,.250,0,0,,3,3,6,1,0,1,3,2,5
